station_id,name,lat,lon
128841079,Cambon - Rivoli,48.866143,2.32518
37791,Richard Lenoir - Jean-Pierre Timbaud,48.865804,2.369337
50156117,Legendre - Dulong,48.885325,2.316424
210744286,Chemin Vert - Saint-Maur,48.861125,2.381299
213992316,Square du Théâtre du Garde-Chasse,48.881287,2.42012
213694482,Botzaris - Parc des Buttes Chaumont,48.877951,2.381464
235599121,Général De Gaulle - Alouette,48.839109,2.417566
462875227,Jules Guesde - Alsace,48.890566,2.295078
101743895,Joseph Liouville - Croix Nivert,48.844835,2.297508
213691848,Place Madeleine Daniélou,48.883498,2.282015
129011497,Rochechouart lamartine,48.87672,2.344393
76199461,Championnet - Vauvenargues,48.894019,2.331987
54000601,Jean-François Lépine - Stephenson,48.886115,2.356856
213691137,Carnot - Général Lanrezac,48.875444,2.293824
549876068,Villette - Belleville,48.872688,2.376461
1057774603,Marie-Georges Picquart - Pereire,48.888637,2.311171
82550543,Place de Barcelone - Mirabeau,48.847623,2.273566
102749572,Gare RER de Vincennes,48.847563,2.433383
390212609,Théophile Gautier - François Millet,48.850348,2.27303
102338493,Larmeroux - Baudelaire,48.81694,2.280989
15462236,Galilée - Kléber,48.867412,2.290781
27362896,Beffroy,48.886591,2.261395
39254792,Mairie du 11ème,48.858925,2.378976
63498079,Marché Secrétan,48.881255,2.373463
101024234,Quai Panhard et Levassor,48.828375,2.384274
97677210,Parmentier - République,48.864495,2.375012
102331767,Victor Hugo - Galliéni,48.83802,2.246085
875078767,Lieutenant Chauré - Etienne Marey,48.867462,2.405971
224256188,Beaujon - Wagram,48.875352,2.296442
1558958733,Arche - Léonard de Vinci,48.89791,2.238372
2515802454,Charles de Gaulle - Sablonville,48.879919,2.276377
648227675,Auguste Cain - Jean Moulin,48.82577,2.321042
1062206433,Chemin Vert - Fraternité,48.877141,2.446157
129032910,Marseille - Beaurepaire,48.871624,2.363927
54001024,Parmentier - Abel Rabaud,48.869213,2.371689
94250567,Mairie d'Ivry-sur-Seine,48.810571,2.384283
129078200,Parc Georges Brassens - Brancion,48.832278,2.302257
649888071,Place Paul Eluard,48.767204,2.414498
82563707,Exelmans - Michel-Ange,48.843095,2.259777
129143598,Pierret - Madrid,48.882977,2.260126
213690847,Reims - Raymond Pitet,48.8888,2.296319
102333275,Saint-Vincent - Verdun,48.819212,2.254008
640629438,Aristide Briand - Gare de Bagneux,48.793873,2.321149
27363362,Seine - Flandre,48.886786,2.374619
237624030,Mathurins - Auber,48.872989,2.329498
6399,Hautpoul - Jean Jaurès,48.886394,2.386541
213957917,Wilson - Métallurgie,48.909423,2.358444
54000626,Madame de Sanzillon - Mozart,48.903798,2.31874
210746090,Grand Prieuré - Crussol,48.864661,2.369227
18880379814,Leroy des Barres - Médiathèque,48.928254,2.368172
27414841,Square d'Anvers,48.882633,2.344884
53999465,Place du Palais Royal,48.862383,2.338482
42566291,Miromesnil - La Boétie,48.873722,2.315848
82253759,Mairie du 7ème,48.857797,2.319266
54000577,Arago - Glacière,48.834861,2.344577
19495480499,Prague - Théophile Roussel,48.850331,2.375822
213702608,Boyer - Ménilmontant,48.868895,2.391982
54000609,Laumière - Petit,48.884674,2.380039
128986726,Boétie - Ponthieu,48.871417,2.307679
362869414,Hôpital Bégin,48.845717,2.427246
214139374,Gare RER de Gentilly,48.81428,2.341035
17174681330,Quai du docteur Dervaux,48.910482,2.297998
213700358,Villiers de l'Isle Adam - Pyrénées,48.867362,2.396222
66491405,Charonne - Avron,48.851603,2.398403
559507144,Place Jean Ferrat,48.818495,2.374417
653063170,Place de la Porte de Paris,48.930094,2.356404
3906215030,Place Amédée Gordini - Lefebvre,48.830617,2.292063
129151834,Stalingrad - Désiré Chevalier,48.856702,2.445072
55664548,Charonne - Faubourg Saint-Antoine,48.852192,2.374093
4329844165,Tristan Tzara -  Tchaïkovski,48.894902,2.364849
653200142,Hôtel de Ville de Nanterre,48.892372,2.205549
650091839,Victor Hugo - Ecoles,48.80476,2.418037
18660653445,Général Delambre - Prebuard,48.938703,2.223417
42743053,Stephenson - Doudeauville,48.888537,2.356161
213699913,Place de l'Édit de Nantes,48.88879,2.3785
101740379,Boulard - Daguerre,48.834465,2.329339
49859500,Charenton - Diderot,48.846171,2.379307
19006016846,Simon Bolivar - Henri Turot,48.877475,2.373971
647826568,Saint-Germain - Thenard,48.850571,2.347102
100767550,Mairie du 4ème,48.85595,2.356382
20431381973,Henri Barbusse,48.932093,2.398288
213694069,Flandre - Alphonse Karr,48.89465,2.381868
468843711,Saint Georges - d'Aumale,48.877786,2.33743
378626842,Anatole France - Louise Michel,48.888732,2.288158
27414945,Montgallet - Charenton,48.842648,2.386165
2515927759,Stalingrad - Germaine Tailleferre,48.802572,2.378669
205955605,Bienfaisance - Place de Narvik,48.876602,2.312977
933214552,Guynemer - Séverine,48.830917,2.279071
